実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,72,午後半日休-所定休憩4開始時刻（就業システム用）,PMOffBreakStartTime4TEX__c,数式 (数値),,,,,-,
,73,午後半日休-所定休憩5開始時刻（就業システム用）,PMOffBreakStartTime5TEX__c,数式 (数値),,,,,-,
,74,午後半日休- 終業時刻（コアタイム終了時刻）（就業システム用）,PMOffCoretimeEndTimeTEX__c,数式 (数値),,,,,-,
,75,午後半日休- 始業時刻（コアタイム開始時刻）（就業システム用）,PMOffCoretimeStartTimeTEX__c,数式 (数値),,,,,-,
,76,午後半日休-所定労働時間（就業システム用）,PMOffStandardScheduledTimeTEX__c,数式 (数値),,,,,-,
,77,客先標準所定内時間（就業システム用）,StandardScheduledTimeTEX__c,数式 (数値),,,,,-,
,78,就業区分（就業システム用）,WorkCategoryTEX__c,数式 (テキスト),,,,,-,
,79,勤務パターン値（削除）,WorkPatternValueOld__c,数式 (テキスト),,,"2025/6/27
OBJ定義書最新化",,-,
,80,就業時間（帳票出力用）,WorkingTime__c,数式 (テキスト),,,,,-,
,81,所定内午前半日休-所定休憩1,AMOffBreakTime1PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,82,所定内午前半日休-所定休憩2,AMOffBreakTime2PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,83,所定内午前半日休-所定休憩3,AMOffBreakTime3PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,84,所定内午前半日休-所定休憩4,AMOffBreakTime4PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,85,所定内午前半日休-所定休憩5,AMOffBreakTime5PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,86,所定内休憩1,BreakTime1PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,87,所定内休憩2,BreakTime2PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,88,所定内休憩3,BreakTime3PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,89,所定内休憩4,BreakTime4PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,90,所定内休憩5,BreakTime5PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,91,所定内午後半日休-所定休憩1,PMOffBreakTime1PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,92,所定内午後半日休-所定休憩2,PMOffBreakTime2PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,93,所定内午後半日休-所定休憩3,PMOffBreakTime3PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,94,所定内午後半日休-所定休憩4,PMOffBreakTime4PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,95,所定内午後半日休-所定休憩5,PMOffBreakTime5PrescribedWithin__c,数式 (チェックボックス),,,,,-,
,96,午前半日休所定休憩時間計,AMOffBreakTimePrescribedWithinSum__c,テキスト,,,,,-,
,97,所定休憩時間計,BreakTimePrescribedWithinSum__c,テキスト,,,,,-,
,98,午後半日休所定休憩時間計,PMOffBreakTimePrescribedWithinSum__c,テキスト,,,,,-,
